"Status","Variable","Opportunity","Weighted_Pipeline"
"Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",14561
"Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",14560
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1859
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1860
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1859
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1860
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1859
"Max","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1858
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1858
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1863
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1860
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14558
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1860
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1859
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1857
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1860
"Optimized","Prototype","UlyssesNet - Smart Alarm 2",14560
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1856
"Max","Expert Consultation","Big Sky & Sons - Building Advisor",
"Max","Expert Consultation","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1858
"Optimized","Prototype","Permadyne - Rack Power Distribution",14560
"Max","Expert Consultation","Allied Technologies - Value Reporting",
"Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",14561
"Max","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",
"Max","Expert Consultation","Biospan LLC. - Pact Series",
"Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",14562
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1856
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1857
"Max","Prototype","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1858
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1860
"Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",14559
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1862
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1864
"Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",14563
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1858
"Max","Prototype","Advanced Communications - Value Reporting",
"Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",14560
"Optimized","Prototype","Plasmosis Inc. - Value Reporting",14557
"Max","Executive Sponsorship","Towson Inc. - Pressure Sensors",
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1856
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1860
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1861
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1859
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1862
"Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",14561
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1858
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1863
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1863
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1858
"Max","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1857
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1858
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1861
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1860
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1859
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1856
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1860
"Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",14558
"Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",14561
"Max","Prototype","Biospan LLC. - Pact Series",
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1860
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1859
"Pre-Optimized","Expert Consultation","Advanced Communications - Value Reporting",1862
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1857
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1857
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1863
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1857
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1858
"Max","Executive Sponsorship","Ohana Insurance - CX Enclosures",
"Max","Executive Sponsorship","Big Sky & Sons - Building Advisor",
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1858
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1861
"Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",14560
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1860
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",14556
"Max","Prototype","Allied Technologies - Value Reporting",
"Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",14561
"Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",14562
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14558
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1859
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1860
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1860
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1859
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1861
"Max","Prototype","Plasmosis Inc. - Value Reporting",
"Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",14563
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1860
"Optimized","Prototype","Advanced Communications - Value Reporting",14564
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1856
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1860
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1859
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1858
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1859
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1857
"Max","Prototype","Big Sky & Sons - Building Advisor",
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1859
"Optimized","Expert Consultation","Goodman Imports - Set Series",14560
"Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",14562
"Max","Prototype","Towson Inc. - Pressure Sensors",
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1856
"Max","Prototype","Biospan LLC. - Pact Series",
"Optimized","Prototype","AJC Corporation - EcoStruxure Grid",14561
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14559
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1856
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1861
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1862
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1859
"Max","Expert Consultation","Silodyne Company - SpaceLogic ASP",
"Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",14556
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1859
"Max","Expert Consultation","Goodman Imports - Set Series",
"Max","Executive Sponsorship","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1859
"Max","Executive Sponsorship","Big Sky & Sons - Building Advisor",
"Max","Prototype","Anaco Limited - EcoStruxure 9-Series",
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1860
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1857
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1857
"Optimized","Prototype","Red Studio Designs - Sustainability advice",14562
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1861
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1857
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1859
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1860
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1858
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1856
"Pre-Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",1860
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1858
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1857
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1856
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1860
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14559
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1860
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1860
"Max","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1860
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1859
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1858
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1859
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1856
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1855
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1856
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1862
"Max","Executive Sponsorship","Goodman Imports - Set Series",
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1856
"Max","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14559
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1862
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1856
"Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",14559
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1856
"Optimized","Prototype","Silodyne Company - SpaceLogic ASP",14559
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1859
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1859
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1860
"Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",14558
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1857
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1859
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1859
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1856
"Max","Prototype","Advanced Communications - Value Reporting",
"Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",14558
"Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",14556
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1858
"Max","Prototype","Goodman Imports - Set Series",
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1863
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1859
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1858
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1859
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1859
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1857
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1858
"Max","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",
"Optimized","Prototype","Red Studio Designs - Sustainability advice",14563
"Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",14560
"Optimized","Prototype","Red Studio Designs - Sustainability advice",14562
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1856
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1862
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1856
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1862
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1860
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1862
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1859
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1858
"Max","Executive Sponsorship","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1864
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1859
"Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",14561
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1858
"Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",14560
"Optimized","Expert Consultation","Allied Technologies - Value Reporting",14564
"Optimized","Prototype","Red Studio Designs - Sustainability advice",14561
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1861
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1860
"Optimized","Prototype","UlyssesNet - Smart Alarm 2",14559
"Pre-Optimized","Executive Sponsorship","Red Studio Designs - Sustainability advice",1856
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1860
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1858
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1858
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1858
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1855
"Optimized","Expert Consultation","Permadyne - Rack Power Distribution",14563
"Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",14557
"Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",14561
"Pre-Optimized","Prototype","Towson Inc. - Pressure Sensors",1860
"Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",14560
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1865
"Max","Expert Consultation","Ohana Insurance - CX Enclosures",
"Max","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1857
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1859
"Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",14559
"Max","Prototype","Anaco Limited - EcoStruxure 9-Series",
"Max","Prototype","Big Sky & Sons - Building Advisor",
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1861
"Pre-Optimized","Prototype","Permadyne - Rack Power Distribution",1860
"Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",14561
"Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",14560
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1858
"Max","Prototype","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1859
"Optimized","Expert Consultation","Advanced Communications - Value Reporting",14556
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1861
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1860
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1855
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1862
"Max","Executive Sponsorship","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1858
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1858
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1859
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1857
"Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",14559
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1856
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1860
"Pre-Optimized","Executive Sponsorship","Advanced Communications - Value Reporting",1860
"Max","Prototype","Permadyne - Rack Power Distribution",
"Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",14559
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1862
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1860
"Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",14559
"Max","Prototype","Amptech Corporation - EcosStruxure Monitoring",
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1860
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1861
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1861
"Optimized","Executive Sponsorship","Goodman Imports - Set Series",14558
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1860
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1860
"Max","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1858
"Max","Executive Sponsorship","Aims Social Inc. - Smart Alarm",
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1861
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1863
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1859
"Pre-Optimized","Prototype","Big Sky & Sons - Building Advisor",1858
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1861
"Max","Executive Sponsorship","Advanced Communications - Value Reporting",
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1858
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1861
"Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",14557
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1858
"Max","Prototype","Allied Technologies - Value Reporting",
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1858
"Max","Executive Sponsorship","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1861
"Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",14561
"Optimized","Expert Consultation","Permadyne - Rack Power Distribution",14559
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1862
"Pre-Optimized","Expert Consultation","Big Sky & Sons - Building Advisor",1859
"Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",14560
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1860
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1855
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1862
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1856
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1856
"Max","Expert Consultation","Goodman Imports - Set Series",
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1860
"Max","Expert Consultation","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Executive Sponsorship","Plasmosis Inc. - Value Reporting",1861
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1859
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1859
"Max","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",
"Max","Expert Consultation","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Executive Sponsorship","Allied Technologies - Value Reporting",1860
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1860
"Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",14560
"Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",14561
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1859
"Max","Prototype","Biospan LLC. - Pact Series",
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1860
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1861
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1861
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Prototype","UlyssesNet - Smart Alarm 2",1857
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1858
"Pre-Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",1859
"Max","Prototype","Roseburg Products - Micro Pragma Enclosure",
"Optimized","Expert Consultation","Goodman Imports - Set Series",14561
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1857
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1858
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1858
"Max","Executive Sponsorship","Plasmosis Inc. - Value Reporting",
"Max","Prototype","Big Sky & Sons - Building Advisor",
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1864
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1857
"Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",14558
"Max","Prototype","Red Studio Designs - Sustainability advice",
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1862
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1861
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1859
"Pre-Optimized","Executive Sponsorship","Towson Inc. - Pressure Sensors",1859
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1861
"Max","Expert Consultation","Permadyne - Rack Power Distribution",
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1863
"Max","Executive Sponsorship","Permadyne - Rack Power Distribution",
"Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",14557
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1857
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1857
"Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",14561
"Optimized","Prototype","Silodyne Company - SpaceLogic ASP",14562
"Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",14560
"Max","Prototype","Aims Social Inc. - Smart Alarm",
"Pre-Optimized","Prototype","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1858
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1859
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1858
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1860
"Pre-Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",1861
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1861
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1859
"Pre-Optimized","Executive Sponsorship","Permadyne - Rack Power Distribution",1858
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1855
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1859
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1862
"Optimized","Prototype","UlyssesNet - Smart Alarm 2",14560
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1859
"Pre-Optimized","Expert Consultation","Silodyne Company - SpaceLogic ASP",1861
"Pre-Optimized","Prototype","Goodman Imports - Set Series",1857
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1858
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1861
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1858
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1861
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1860
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1860
"Max","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1864
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1860
"Pre-Optimized","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Prototype","Advanced Communications - Value Reporting",1859
"Pre-Optimized","Prototype","Roseburg Products - Micro Pragma Enclosure",1861
